[2026-04-02T00:30:33.474Z] GET https://www.jiliguala.com/ → pending (?ms, ?B)
[2026-04-02T00:30:34.176Z] GET https://www.jiliguala.com/assets/index-632519e5.js → 200 (175ms, 100683B)
[2026-04-02T00:30:34.176Z] GET https://www.jiliguala.com/assets/index-d20c46e4.css → 200 (289ms, 200860B)
[2026-04-02T00:30:34.176Z] GET https://www.jiliguala.com/assets/MainLayout-a9687004.js → 200 (314ms, 88585B)
[2026-04-02T00:30:34.180Z] GET https://www.jiliguala.com/assets/index-dae50b2c.js → 200 (270ms, 345B)
[2026-04-02T00:30:34.180Z] GET https://www.jiliguala.com/assets/_plugin-vue_export-helper-c27b6911.js → 200 (348ms, 91B)
[2026-04-02T00:30:34.180Z] GET https://www.jiliguala.com/assets/MainLayout-d0f93e44.css → 200 (242ms, 6690B)
[2026-04-02T00:30:34.180Z] GET https://www.jiliguala.com/assets/index-df5592af.js → 200 (464ms, 75731B)
[2026-04-02T00:30:34.180Z] GET https://www.jiliguala.com/assets/footer-6ec63e2d.js → 200 (393ms, 10361B)
[2026-04-02T00:30:34.180Z] GET https://www.jiliguala.com/assets/footer-1499c014.css → 200 (249ms, 2998B)
[2026-04-02T00:30:34.180Z] GET https://www.jiliguala.com/assets/index-6e3db525.css → 200 (280ms, 55507B)
[2026-04-02T00:30:34.180Z] GET https://www.jiliguala.com/assets/section1-titlebox-cdd9e45f.png → 200 (396ms, 60048B)
[2026-04-02T00:30:34.180Z] GET https://www.jiliguala.com/assets/section1-action-btn-c4445d92.png → 200 (415ms, 37183B)
[2026-04-02T00:30:34.180Z] GET https://qiniucdn.jiliguala.com/ram/notifaction_picture/da4137bb-dad1-4bd7-8585-8ad85dd028d8_20250328131501.png → pending (?ms, ?B)
[2026-04-02T00:30:34.180Z] GET https://qiniucdn.jiliguala.com/ram/notifaction_picture/965a1e95-ac11-440f-a9ae-2aa983fc2387_20250328130904.svg → 200 (426ms, 11016B)
[2026-04-02T00:30:34.180Z] GET https://www.jiliguala.com/assets/product1-bg2-1-0ee1a2d6.png → 200 (461ms, 15855B)
[2026-04-02T00:30:34.180Z] GET https://www.jiliguala.com/assets/product1-img-30aabf13.png → 200 (495ms, ?B)
[2026-04-02T00:30:34.180Z] GET https://www.jiliguala.com/assets/product1-symbol@2x-b494a997.png → pending (?ms, ?B)
[2026-04-02T00:30:34.180Z] GET https://qiniucdn.jiliguala.com/ram/notifaction_picture/344e49b6-f8bd-4e1f-abb2-280129c31cf9_20250328135008.svg → pending (?ms, ?B)
[2026-04-02T00:30:34.180Z] GET https://qiniucdn.jiliguala.com/ram/notifaction_picture/e7485319-7e13-4c57-9502-cf6cbf3445ff_20250328173421.svg → 200 (459ms, 577B)
[2026-04-02T00:30:34.180Z] GET https://www.jiliguala.com/assets/productbg3-e734d055.png → pending (?ms, ?B)
[2026-04-02T00:30:34.180Z] GET https://www.jiliguala.com/assets/productbg1-eebc4fed.png → pending (?ms, ?B)
[2026-04-02T00:30:34.180Z] GET https://www.jiliguala.com/assets/productbg2-8e539933.png → pending (?ms, ?B)
[2026-04-02T00:30:34.180Z] GET https://www.jiliguala.com/assets/product1-ipguagua-9f78acbd.png → pending (?ms, ?B)
[2026-04-02T00:30:34.180Z] GET https://qiniucdn.jiliguala.com/ram/notifaction_picture/0792c8dd-2048-4fd3-a8e0-19d495773b67_20250328135357.svg → pending (?ms, ?B)
[2026-04-02T00:30:34.180Z] GET https://www.jiliguala.com/assets/product2-symbol@2x-96779d6f.png → pending (?ms, ?B)
[2026-04-02T00:30:34.180Z] GET https://qiniucdn.jiliguala.com/ram/notifaction_picture/d5590e0b-c386-4caa-85a7-1ac7cef57ccd_20250328181311.png → 200 (459ms, ?B)
[2026-04-02T00:30:34.181Z] GET https://www.jiliguala.com/assets/product-symbol@2x-978ffacc.png → pending (?ms, ?B)
[2026-04-02T00:30:34.181Z] GET https://www.jiliguala.com/assets/vector-1528-8d50126d.png → pending (?ms, ?B)
[2026-04-02T00:30:34.181Z] GET https://www.jiliguala.com/assets/usermobiel-1-bdff1fd6.png → pending (?ms, ?B)
[2026-04-02T00:30:34.181Z] GET https://www.jiliguala.com/assets/section4-ip1-e26d2ed7.png → pending (?ms, ?B)
[2026-04-02T00:30:34.181Z] GET https://qiniucdn.jiliguala.com/ram/notifaction_picture/c17dda89-56e6-4b4d-8127-a175e2916f04_20250328151919.png → pending (?ms, ?B)
[2026-04-02T00:30:34.181Z] GET https://qiniucdn.jiliguala.com/ram/notifaction_picture/4229f55a-2d09-4c4c-ba39-096351a91ce2_20250328152016.png → pending (?ms, ?B)
[2026-04-02T00:30:34.181Z] GET https://qiniucdn.jiliguala.com/ram/notifaction_picture/3fa88b06-f062-457c-9421-1094729ec0b0_20250328163624.png → pending (?ms, ?B)
[2026-04-02T00:30:34.181Z] GET https://qiniucdn.jiliguala.com/ram/notifaction_picture/d8343a23-0cdd-43a0-bcb0-40b4752f9966_20250328110658.png → pending (?ms, ?B)
[2026-04-02T00:30:34.181Z] GET https://qiniucdn.jiliguala.com/ram/notifaction_picture/6d853475-066f-43ba-ba1c-f18a821660d0_20250328110802.png → pending (?ms, ?B)
[2026-04-02T00:30:34.181Z] GET https://qiniucdn.jiliguala.com/ram/notifaction_picture/77809990-ea59-4c0d-b0b8-1671505d7b28_20250328111345.png → pending (?ms, ?B)
[2026-04-02T00:30:34.181Z] GET https://qiniucdn.jiliguala.com/ram/notifaction_picture/abc8f8c2-62a3-4a5b-a389-41c1689b604f_20250328111929.png → pending (?ms, ?B)
[2026-04-02T00:30:34.181Z] GET https://www.jiliguala.com/assets/logo-ng-b9532585.png → pending (?ms, ?B)
[2026-04-02T00:30:34.181Z] GET https://www.jiliguala.com/assets/logo-prh-bc1c6d8a.png → pending (?ms, ?B)
[2026-04-02T00:30:34.181Z] GET https://www.jiliguala.com/assets/logo-collins-1-56bbd6b3.png → pending (?ms, ?B)
[2026-04-02T00:30:34.181Z] GET https://www.jiliguala.com/assets/logo-scholastic-2c01030c.png → pending (?ms, ?B)
[2026-04-02T00:30:34.181Z] GET https://www.jiliguala.com/assets/content-tiny-53492678.png → pending (?ms, ?B)
[2026-04-02T00:30:34.181Z] GET https://qiniucdn.jiliguala.com/ram/notifaction_picture/7e52e89a-5646-4ebe-b7a1-f46089c605b6_20250328155712.svg → pending (?ms, ?B)
[2026-04-02T00:30:34.181Z] GET https://qiniucdn.jiliguala.com/ram/notifaction_picture/b74c1823-2b92-46e4-8b5e-cc19fbdb2561_20250328182942.jpg → pending (?ms, ?B)
[2026-04-02T00:30:34.181Z] GET https://qiniucdn.jiliguala.com/ram/notifaction_picture/990c75b5-8dbb-4ad8-8e8b-b0c55d00c984_20250328165610.png → pending (?ms, ?B)
